지역,가맹점명,분류,주소
대전 ,폼인디자인협회,문화체험,대전 동구 옛신탄진로 75번길 62 
대전 ,대전서점,도서,대전 동구 용운동 대학로 62 대학교 학생회관 
대전 ,지영서점,도서,대전 동구 용운동 새울로 102-26 
대전 ,H.I(에이치아이),숙박,"대전 동구 용운로 169  (용운동,한일호텔 ) "
대전 ,동양칼라현상소,미술,대전 동구 용전동 172-4 
부산 ,동아서적,도서,부산 남구 대연동  72-2 
부산 ,주식회사스마일재팬투어,여행사,부산 남구 대연동 1344-1 베르디하우스 606호 
부산 ,고운바다,미술,부산 남구 대연동 72-23 대승타워 224 
부산 ,탑서점,도서,부산광역시 남구  진남로153번길 11-7 
부산 ,지성도서,도서,"부산 남구 못골로41번길 6, 3층(대연동,기명빌딩) "
부산 ,늘푸른여행사,여행사,부산 남구 문현3동  383-22 
부산 ,낙원별장,숙박,부산 남구 문현동  408-16 
부산 ,박영도서,도서,부산 남구 문현동  649-7 
부산 ,기념사진비디오,미술,부산 남구 문현동 635-6 
부산 ,배시시 스튜디오,미술,부산 남구 수영로 294 동일스위트 2층 
부산 ,경성스튜디오,미술,부산 남구 수영로 309 경성대교내 
부산 ,그랜드모텔,숙박,부산 남구 수영로13번길 6-11 그랜드모텔 
광주 ,그레이스기독서점,도서,광주 남구 제중로47번길 1 (양림동) 
광주 ,시조사호남서회(삼육건강마을),도서,광주 남구 주월1동 371-38 
광주 ,광주 진월동 정류소,교통수단,광주 남구 진월동 424-6 
광주 ,한성포토,미술,광주 남구 효덕로 277  
광주 ,미디어놀이터,공연,광주광역시 남구  천변좌로338번길 7 서오층석탑 빛고을시민문화관 1층 
광주 ,북헌트,도서,광주 남구 회재로 1146 (주월동) 
광주 ,아이노벨,미술,광주 남구 회재로 1238 
광주 ,광주대구내서점,도서,광주 남구 효덕로 277 (진월동) 
광주 ,모노텔,숙박,광주 동구 경양로247번길 6 (계림동) 
광주 ,광일서점,도서,광주 동구 경양로277번길 16-3 (계림동) 
광주 ,시드니모텔,숙박,광주 동구 경양로277번길 18 (계림동) 
광주 ,쌍광사진관,미술,광주 동구 계림동 334-11 
광주 ,월출장여관,숙박,광주 동구 계림동 중앙로 253-4 
광주 ,덕성한지필방,미술,광주 동구 궁동 예술길 25     (궁동) 
광주 ,주식회사 인투어,여행사,"광주 동구 금남로 167, 4층 (금남로5가) "
광주 ,(주)월드투어센터(다도여행사),여행사,광주 서구 상무중앙로 72번길 5-2 301호 
광주 ,(주)투어뱅크,여행사,광주 동구 금남로 245 (금남로1가) 
대구 ,달성군청소년문화의집,문화체험,대구광역시 달성군 가창면 가창로220길 8 
대구 ,국가산단웰빙온천,관광지,대구 달성군 구지면 달성2차동1로 99 (내리) 
대구 ,주식회사 여행코리아,여행사,대구 달성군 다사읍 대실역북로1길 6  죽곡휴먼시아1단지 상가 203호 
