지역,가맹점명,분류,주소
서울,(주) 현대관광,여행사,서울 광진구 천호대로 629  
서울,광진 파인힐,숙박,서울 광진구 용마산로 192 (중곡동) 
서울,수도서림,도서,"서울 광진구 용마산로22길 9, 1층 "
서울,우리유황온천주식회사,관광지,서울 광진구 자양로5길 33 
서울,서적백화점,도서,서울특별시 강남구  선릉로 42 석일빌딩 지하 
서울,샘서림,도서,서울 강남구 개포로 218 (개포동) 
서울,포토마트,미술,서울 강남구 개포로 228 1층 
서울,디이제이 (dearJAY),미술,서울 강남구 개포로 256 이화트론빌딩2층 
서울,터전아동도서,도서,서울 강남구 남부순환로 2913 지하1층 (대치동) 
서울,다산서적,도서,서울 관악구 대학6길 19 (신림동) 
서울,그날이오면,도서,서울특별시 관악구  신림로14길 26 그날이오면
서울,ZIP MOTEL(짚 모텔),숙박,서울 관악구 봉천동  856-8 
서울,포토픽스,미술,서울 관악구 봉천동 1589-9 연빌딩 102 
서울,호텔 릴,숙박,서울 관악구 봉천로12길 36 (신림동) 
서울,신림동사진관,미술,서울특별시 관악구  남부순환로163다길 23 301호
서울,화양장,숙박,서울 광진구 자양동  7-43 
서울,농경애니텍,도서,서울 광진구 자양동 226-24 선진빌딩 301호 
서울,건대 포토카페 프린세스,미술,서울 광진구 자양동 5-70 지하1층 
서울,미영사진관,미술,서울특별시 광진구  아차산로 220 
서울,이삭렌터카 건대점,교통수단,서울특별시 광진구  아차산로30길 26 
서울,시마모텔,숙박,서울 광진구 자양동10-6 
서울,선사진관,미술,서울 광진구 자양로 151 
서울,코아포토,미술,서울 광진구 자양로 231번지 
서울,메시아기독교백화점,도서,"서울 서대문구 수색로 48 3층(남가좌동, 대화빌딩) "
서울,호텔제이드,숙박,서울 서대문구 연세로2가길 12 (창천동) 
서울,플러스모텔,숙박,서울 서대문구 연세로2길 34  (창천동) 
서울,신디,숙박,서울 서대문구 연세로4길 18-12 신디호텔 (창천동) 
서울,(주)예스북,도서,서울 서대문구 연세로5다길 40 
서울,크레타 스튜디오 ,미술,서울 서대문구 연희동 69-51 1층 
서울,연희동사진관,미술,서울 서대문구 연희로11마길 2 1층 
서울,토이카메라,미술,서울 서대문구 연희맛로 17-43 
서울,체스모텔,숙박,서울 관악구 신림동  1432-75 
서울,고시책사랑,도서,서울 관악구 호암로 26길 27 
서울,주식회사 성진월드투어,여행사,서울 관악구 신림동  529-8 세인빌딩 5층 
서울,만족한사진관,미술,서울 관악구 대학5길 17(신림동) 
서울,알라딘 중고서점 신림점,도서,서울특별시 관악구  신림로 318 청암두산위브센티움 지하 1층
서울,마포청소년문화의집,문화체험,서울특별시 마포구  상암산로1길 67 
서울,에스호텔,숙박,서울 마포구 서강로 128 (노고산동) 
서울,라뉘호텔,숙박,서울 마포구 서강로20길 20(노고산동) 
서울,극단산울림,공연,서울특별시 마포구  와우산로 157 지층 
서울,에스제이비보이즈(주),공연,서울특별시 마포구  와우산로 121 삼진제약사옥 지하1층
서울,몽스튜디오,미술,서울 마포구 서교동 394-23 
서울,남가좌2동 주민자치센터,문화체험,서울 서대문구 증가로 10길 28 
서울,맥,숙박,서울특별시 서대문구  연세로2길 46 
서울,우리동네사진관 신촌점,미술,서울 서대문구 창천동 30-8 광신빌딩 3층 
서울,향음악사,음악,서울 서대문구 창천동 33-16 5층 
서울,홍익도서,도서,서울특별시 마포구  동교로 148-8 
서울,국제핸드메이드페어(사단법인 일상예술창작센터),미술,서울 마포구 성산동 611-12번지 2층 
서울,0907스튜디오,미술,서울 마포구 성산동 108-9 외1필지 
서울,베이비스튜디오 설레임,미술,서울 마포구 신수동 445-6 3층 
서울,백호서점문구,도서,서울특별시 마포구  광성로6안길 10 
서울,신천더샵모텔,숙박,서울 송파구 잠실동 올림픽로12길 4-8 
서울,엔유,숙박,서울 송파구 잠실본동 179-1 
서울,피노키오사진,미술,서울 송파구 잠실본동 187-4 1층 
서울,반,숙박,서울 송파구 잠실본동184-23 
서울,아이니스튜디오,미술,"서울특별시 송파구  중대로 286 미디어캐슬 2층, 4층"
서울,(주) 창떼르,여행사,서울 강남구 삼성동 삼성로104길 24 서정빌딩 
서울,주식회사 희스토리(Hee Story co. Ltd.),여행사,서울 강남구 테헤란로 87길 17 
서울,(주)푸른하늘,여행사,서울 강남구 삼성동 삼성로92길 13     401호(삼성동) 
서울,은마서적,도서,서울특별시 강남구  삼성로 212 은마아파트 은마상가 b-242
서울,선경문고,도서,서울 강남구 삼성로 311지하1층 
서울,코자자 모텔,숙박,서울 동작구 사당동  147-61 
서울,생각주머니,도서,서울 서초구 신반포로 177 3동2층 
서울,서울고속버스터미널 경부 (고속),교통수단,서울 서초구 신반포로 194 (반포동) 
서울,신목서점,도서,"서울 양천구 목동동로 130, 14단지 C동 지하1층 (신정동) "
서울,로데오모텔,숙박,서울 양천구 목동로 229 (신정4동) 
서울,햇빛문고-목동본점,도서,서울 양천구 목동서로 355 (신정6동) 
서울,목동문고,도서,서울 양천구 목동서로 400 목동10단지아파트상가 지하1층 (신정동) 
서울,(주)꿈이있는여행사,여행사,서울 양천구 목동서로 77 현대월드타워 134호 (목동) 
서울,스튜디오아지트,미술,서울 강서구 공항대로 641 지하1층 
서울,(주)참여행사,여행사,서울 양천구 신월동 곰달래로 24     102 
서울,호텔락,숙박,서울 서대문구 창천동20-37번지 
서울,렉시,숙박,서울 서대문구 창천동29-55 
서울,티에스트래블,여행사,서울특별시 강서구  마곡서로 158 센트럴타워 2차 701호
서울,주식회사 팬월드드림,여행사,서울 서대문구 충정로 53 골든타워빌딩 1802호 (충정로2가) 
서울,하나트래비즈 서대문1호점,여행사,"서울특별시 서대문구  충정로 53 골든타워빌딩 1207호, 1208호"
서울,보문서점,도서,서울 서대문구 통일로 161-5 (냉천동) 
서울,제3칼라,미술,서울 서대문구 홍은2동 274-20 
서울,문화문고,도서,서울특별시 서대문구  간호대로 4 
서울,베이비짱 셀프스튜디오,미술,서울 서대문구 홍제동 139-10 2층 
서울,홍제문고,도서,서울특별시 서대문구  통일로 450 지하1층
서울,루야스튜디오,미술,서울 서초구 강남대로 595 301호 
서울,백두여행사,여행사,서울 강북구 수유동  191-77 4층 
서울,아멘서적,도서,서울특별시 강북구  도봉로89길 5 윤성빌딩 지하1층
서울,이은주스튜디오,미술,서울 강북구 수유동 39-46 1층 
서울,일신사진관,미술,서울 동대문구 신이문로 33 
서울,평화장(금풍장모텔),숙박,서울특별시 동대문구  왕산로 230 
서울,한국서예명가,미술,서울 동대문구 왕산로225 미주상가A동 B10-6 
서울,동아여관,숙박,서울특별시 동대문구  왕산로 140 
서울,산소스튜디오,미술,서울 동대문구 용두동 255-53 
서울,신고서점,도서,서울특별시 도봉구  삼양로144길 21 
